time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cidade,estado,regiao,latitude,longitude
2025-03-30,21.3,26.5,18.4,0.0,11.5,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-31,22.2,28.9,16.2,0.0,9.6,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-01,27.0,29.1,25.1,3.7,19.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-02,27.0,29.3,24.5,2.3,18.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-03,27.2,29.6,25.4,1.3,16.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-04,27.2,29.7,25.2,3.6,15.7,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-05,27.4,30.1,25.2,3.8,15.7,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-06,27.0,29.8,24.2,3.9,18.4,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-07,27.3,29.8,24.8,1.5,16.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-08,27.5,30.1,24.9,0.0,13.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-09,28.1,31.1,25.9,1.0,16.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-10,27.7,30.8,25.4,1.8,18.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-11,27.7,31.0,25.0,1.3,18.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-12,26.3,28.8,24.3,10.2,14.1,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-13,25.7,27.7,23.8,3.1,11.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-14,26.2,29.0,24.0,5.5,13.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-15,27.3,29.9,25.4,0.4,14.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-16,26.9,29.2,24.7,0.6,13.6,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-17,26.8,29.4,24.2,0.9,13.9,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-18,27.4,30.1,24.5,0.6,12.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-19,26.2,28.9,23.7,5.3,12.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-20,26.9,30.8,23.4,1.9,13.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-21,27.5,31.6,23.6,2.3,15.1,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-22,27.4,30.5,24.7,2.3,16.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-23,27.2,30.1,24.3,2.0,11.1,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-24,27.7,30.4,25.3,0.9,13.9,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-25,26.6,29.3,24.2,3.4,13.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-26,25.7,28.4,23.5,10.6,12.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-27,25.8,29.0,23.6,12.3,12.9,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-28,25.5,27.5,22.9,17.3,10.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-29,25.6,27.5,23.9,2.5,12.6,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-30,26.8,29.6,24.0,3.7,13.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-01-31,27.4,30.1,25.0,0.2,14.1,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-01,26.7,28.9,24.7,4.3,16.9,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-02,27.4,29.9,25.1,0.1,13.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-03,26.9,29.9,24.0,4.8,19.6,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-04,24.8,26.5,23.1,13.4,16.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-05,24.6,26.4,23.2,23.3,16.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-06,25.2,27.6,23.7,14.5,14.1,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-07,26.8,29.0,25.4,1.4,15.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-08,26.3,29.0,23.6,1.6,12.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-09,26.7,29.6,23.5,2.1,16.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-10,27.4,29.4,25.8,0.5,18.9,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-11,26.8,29.2,24.1,3.1,18.1,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-12,27.1,29.4,25.2,2.3,16.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-13,27.0,29.1,24.9,0.5,16.9,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-14,27.1,29.3,24.8,1.5,16.1,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-15,26.6,28.9,23.7,1.8,18.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-16,26.4,28.9,23.5,7.1,19.7,Recife,PE,Nordeste,-8.0476,-34.877
